Saison	Kalenderwoche	Bundesland	Bundesland_ID	Altersgruppe	ARE_Konsultationsinzidenz
2012/13	2013-W05	Bundesweit	0	5-14	3441
2012/13	2013-W05	Bundesweit	0	15-34	2289
2012/13	2013-W05	Bundesweit	0	60+	703
2012/13	2013-W05	Bundesweit	0	35-59	1918
2012/13	2013-W06	Bundesweit	0	00+	2155
2012/13	2013-W06	Bundesweit	0	0-4	7999
2012/13	2013-W06	Bundesweit	0	5-14	3552
2012/13	2013-W06	Bundesweit	0	15-34	2269
2012/13	2013-W06	Bundesweit	0	60+	839
2012/13	2013-W06	Bundesweit	0	35-59	2038
2012/13	2013-W07	Bundesweit	0	00+	2214
2012/13	2013-W07	Bundesweit	0	0-4	7594
2012/13	2013-W07	Bundesweit	0	5-14	3056
2012/13	2013-W07	Bundesweit	0	15-34	2500
2012/13	2013-W07	Bundesweit	0	60+	842
2012/13	2013-W07	Bundesweit	0	35-59	2218
2012/13	2013-W08	Bundesweit	0	00+	2556
2012/13	2013-W08	Bundesweit	0	0-4	8124
2012/13	2013-W08	Bundesweit	0	5-14	3558
2012/13	2013-W08	Bundesweit	0	15-34	2827
2012/13	2013-W08	Bundesweit	0	60+	1031
2012/13	2013-W08	Bundesweit	0	35-59	2623
2012/13	2013-W09	Bundesweit	0	00+	2170
2012/13	2013-W09	Bundesweit	0	0-4	6679
2012/13	2013-W09	Bundesweit	0	5-14	3468
2012/13	2013-W09	Bundesweit	0	15-34	2304
2012/13	2013-W09	Bundesweit	0	60+	916
2012/13	2013-W09	Bundesweit	0	35-59	2171
2012/13	2013-W10	Bundesweit	0	00+	1824
2012/13	2013-W10	Bundesweit	0	0-4	6413
2012/13	2013-W10	Bundesweit	0	5-14	2992
2012/13	2013-W10	Bundesweit	0	15-34	1834
2012/13	2013-W10	Bundesweit	0	60+	807
2012/13	2013-W10	Bundesweit	0	35-59	1754
2012/13	2013-W11	Bundesweit	0	00+	1627
2012/13	2013-W11	Bundesweit	0	0-4	5508
2012/13	2013-W11	Bundesweit	0	5-14	2802
2012/13	2013-W11	Bundesweit	0	15-34	1739
2012/13	2013-W11	Bundesweit	0	60+	679
2012/13	2013-W11	Bundesweit	0	35-59	1521
2012/13	2013-W12	Bundesweit	0	00+	1461
2012/13	2013-W12	Bundesweit	0	0-4	5117
2012/13	2013-W12	Bundesweit	0	5-14	2249
2012/13	2013-W12	Bundesweit	0	15-34	1488
2012/13	2013-W12	Bundesweit	0	60+	690
2012/13	2013-W12	Bundesweit	0	35-59	1400
2012/13	2013-W13	Bundesweit	0	00+	1153
2012/13	2013-W13	Bundesweit	0	0-4	4575
2012/13	2013-W13	Bundesweit	0	5-14	1654
2012/13	2013-W13	Bundesweit	0	15-34	1144
2012/13	2013-W13	Bundesweit	0	60+	538
2012/13	2013-W13	Bundesweit	0	35-59	1097
2012/13	2013-W14	Bundesweit	0	00+	1130
2012/13	2013-W14	Bundesweit	0	0-4	4083
2012/13	2013-W14	Bundesweit	0	5-14	1178
2012/13	2013-W14	Bundesweit	0	15-34	1156
2012/13	2013-W14	Bundesweit	0	60+	625
2012/13	2013-W14	Bundesweit	0	35-59	1135
2012/13	2013-W15	Bundesweit	0	00+	1133
2012/13	2013-W15	Bundesweit	0	0-4	4169
2012/13	2013-W15	Bundesweit	0	5-14	1241
2012/13	2013-W15	Bundesweit	0	15-34	1245
2012/13	2013-W15	Bundesweit	0	60+	651
2012/13	2013-W15	Bundesweit	0	35-59	1045
2012/13	2013-W16	Bundesweit	0	00+	876
2012/13	2013-W16	Bundesweit	0	0-4	3739
2012/13	2013-W16	Bundesweit	0	5-14	1199
2012/13	2013-W16	Bundesweit	0	15-34	900
2012/13	2013-W16	Bundesweit	0	60+	488
2012/13	2013-W16	Bundesweit	0	35-59	738
2012/13	2013-W17	Bundesweit	0	00+	781
2012/13	2013-W17	Bundesweit	0	0-4	3871
2012/13	2013-W17	Bundesweit	0	5-14	1314
2012/13	2013-W17	Bundesweit	0	15-34	827
2012/13	2013-W17	Bundesweit	0	60+	336
2012/13	2013-W17	Bundesweit	0	35-59	594
2012/13	2013-W18	Bundesweit	0	00+	703
2012/13	2013-W18	Bundesweit	0	0-4	3200
2012/13	2013-W18	Bundesweit	0	5-14	1105
2012/13	2013-W18	Bundesweit	0	15-34	747
2012/13	2013-W18	Bundesweit	0	60+	305
2012/13	2013-W18	Bundesweit	0	35-59	583
2012/13	2013-W19	Bundesweit	0	00+	611
2012/13	2013-W19	Bundesweit	0	0-4	2804
2012/13	2013-W19	Bundesweit	0	5-14	931
2012/13	2013-W19	Bundesweit	0	15-34	688
2012/13	2013-W19	Bundesweit	0	60+	283
2012/13	2013-W19	Bundesweit	0	35-59	474
2012/13	2013-W20	Bundesweit	0	00+	747
2012/13	2013-W20	Bundesweit	0	0-4	3163
2012/13	2013-W20	Bundesweit	0	5-14	1121
2012/13	2013-W20	Bundesweit	0	15-34	890
2012/13	2013-W20	Bundesweit	0	60+	329
2012/13	2013-W20	Bundesweit	0	35-59	596
2012/13	2013-W21	Bundesweit	0	00+	566
2012/13	2013-W21	Bundesweit	0	0-4	2543
2012/13	2013-W21	Bundesweit	0	5-14	769
2012/13	2013-W21	Bundesweit	0	15-34	696
2012/13	2013-W21	Bundesweit	0	60+	229
2012/13	2013-W21	Bundesweit	0	35-59	457
2012/13	2013-W22	Bundesweit	0	00+	640
2012/13	2013-W22	Bundesweit	0	0-4	2866
2012/13	2013-W22	Bundesweit	0	5-14	970
2012/13	2013-W22	Bundesweit	0	15-34	789
2012/13	2013-W22	Bundesweit	0	60+	269
2012/13	2013-W22	Bundesweit	0	35-59	483
2012/13	2013-W23	Bundesweit	0	00+	715
2012/13	2013-W23	Bundesweit	0	0-4	2876
2012/13	2013-W23	Bundesweit	0	5-14	997
2012/13	2013-W23	Bundesweit	0	15-34	940
2012/13	2013-W23	Bundesweit	0	60+	288
2012/13	2013-W23	Bundesweit	0	35-59	571
2012/13	2013-W24	Bundesweit	0	00+	654
2012/13	2013-W24	Bundesweit	0	0-4	2779
2012/13	2013-W24	Bundesweit	0	5-14	970
2012/13	2013-W24	Bundesweit	0	15-34	782
2012/13	2013-W24	Bundesweit	0	60+	263
2012/13	2013-W24	Bundesweit	0	35-59	539
2012/13	2013-W25	Bundesweit	0	00+	538
2012/13	2013-W25	Bundesweit	0	0-4	2607
2012/13	2013-W25	Bundesweit	0	5-14	820
2012/13	2013-W25	Bundesweit	0	15-34	639
2012/13	2013-W25	Bundesweit	0	60+	232
2012/13	2013-W25	Bundesweit	0	35-59	394
2012/13	2013-W26	Bundesweit	0	00+	553
2012/13	2013-W26	Bundesweit	0	0-4	2748
2012/13	2013-W26	Bundesweit	0	5-14	960
2012/13	2013-W26	Bundesweit	0	15-34	619
2012/13	2013-W26	Bundesweit	0	60+	201
2012/13	2013-W26	Bundesweit	0	35-59	419
2012/13	2013-W27	Bundesweit	0	00+	660
2012/13	2013-W27	Bundesweit	0	0-4	2897
2012/13	2013-W27	Bundesweit	0	5-14	1060
2012/13	2013-W27	Bundesweit	0	15-34	718
2012/13	2013-W27	Bundesweit	0	60+	346
2012/13	2013-W27	Bundesweit	0	35-59	499
2012/13	2013-W28	Bundesweit	0	00+	592
